片名,上映日期,票房(万元),平均票价,场均人次
长津湖,2021-09-30 上映,577534,46.383896,22
战狼2,2017-07-27 上映,569454,35.594273,37
你好，李焕英,2021-02-12 上映,541320,44.756565,24
哪吒之魔童降世,2019-07-26 上映,503570,35.692463,23
流浪地球,2019-02-05 上映,468739,44.596836,29
满江红,2023-01-22 上映,454435,49.51212,24
唐人街探案3,2021-02-12 上映,452356,47.60254,29
复仇者联盟4：终局之战,2019-04-24 上映,425015,48.95791,23
长津湖之水门桥,2022-02-01 上映,406745,49.286682,19
流浪地球2,2023-01-22 上映,404375,50.772953,21
孤注一掷,2023-08-08 上映,384984,41.41531,18
红海行动,2018-02-16 上映,365228,39.27593,32
消失的她,2023-06-22 上映,352387,41.529163,21
热辣滚烫,2024-02-10 上映,346055,48.035583,22
飞驰人生2,2024-02-10 上映,339865,48.0397,19
唐人街探案2,2018-02-16 上映,339777,38.757133,38
美人鱼,2016-02-08 上映,339120,36.668804,43
抓娃娃,2024-07-16 上映,332752,41.382668,14
我和我的祖国,2019-09-30 上映,317003,38.10905,35
八佰,2020-08-21 上映,311084,38.33633,20
独行月球,2022-07-29 上映,310310,41.605843,12
我不是药神,2018-07-05 上映,310002,34.814323,26
中国机长,2019-09-30 上映,291317,37.429123,25
我和我的家乡,2020-10-01 上映,282992,38.75535,19
速度与激情8,2017-04-14 上映,267093,36.648827,30
封神第一部,2023-07-20 上映,263460,43.417812,16
这个杀手不太冷静,2022-02-01 上映,262800,48.19243,14
西虹市首富,2018-07-27 上映,254766,35.06266,28
第二十条,2024-02-10 上映,245473,46.338207,16
捉妖记,2015-07-16 上映,243623,37.16108,41
速度与激情7,2015-04-12 上映,242313,38.856926,42
复仇者联盟3：无限战争,2018-05-11 上映,239051,38.24297,19
捉妖记2,2018-02-16 上映,223723,38.314194,44
羞羞的铁拳,2017-09-30 上映,221365,33.400208,25
疯狂的外星人,2019-02-05 上映,221321,42.006607,30
八角笼中,2023-07-06 上映,220739,40.71143,18
海王,2018-12-07 上映,201308,36.35835,18
熊出没·逆转时空,2024-02-10 上映,200667,46.0126,22
变形金刚4：绝迹重生,2014-06-27 上映,197652,41.633636,50
前任3：再见前任,2017-12-29 上映,194190,35.06071,29
毒液：致命守护者,2018-11-09 上映,187065,35.510277,17
长安三万里,2023-07-08 上映,182441,41.316296,19
功夫瑜伽,2017-01-28 上映,174868,38.17402,33
飞驰人生,2019-02-05 上映,172824,41.692364,25
阿凡达,2010-01-04 上映,171539,45.51828,22
人生大事,2022-06-24 上映,171259,40.256683,10
烈火英雄,2019-08-01 上映,170685,35.896545,19
阿凡达：水之道,2022-12-16 上映,169804,50.156097,8
侏罗纪世界2,2018-06-15 上映,169591,35.697067,19
寻龙诀,2015-12-18 上映,167988,36.200695,40
西游伏妖篇,2017-01-28 上映,165207,39.149124,36
港囧,2015-09-25 上映,161135,32.852345,40
姜子牙,2020-10-01 上映,160302,39.790684,19
万里归途,2022-09-30 上映,159325,41.96201,8
少年的你,2019-10-25 上映,155826,36.217808,16
变形金刚5：最后的骑士,2017-06-23 上映,155126,36.93777,23
疯狂动物城,2016-03-04 上映,153190,33.58069,28
熊出没·伴我“熊芯”,2023-01-22 上映,149524,46.30252,19
我和我的父辈,2021-09-30 上映,147727,43.4587,16
魔兽,2016-06-08 上映,146887,37.072163,25
复仇者联盟2：奥创纪元,2015-05-12 上映,146118,39.999035,29
夏洛特烦恼,2015-09-30 上映,144475,32.15511,33
速度与激情：特别行动,2019-08-23 上映,143495,35.66835,15
送你一朵小红花,2020-12-31 上映,143276,37.26934,12
芳华,2017-12-15 上映,142299,34.23472,25
侏罗纪世界,2015-06-10 上映,141821,38.28785,33
蜘蛛侠：英雄远征,2019-06-28 上映,141767,35.90006,17
头号玩家,2018-03-30 上映,139668,36.40283,18
速度与激情9,2021-05-21 上映,139226,39.293274,13
奇迹·笨小孩,2022-02-01 上映,137934,46.25873,11
泰坦尼克号,1998-04-03 上映,136531,22.056992,61
后来的我们,2018-04-28 上映,136155,33.90266,21
一出好戏,2018-08-10 上映,135507,34.711494,25
坚如磐石,2023-09-28 上映,135163,42.90325,10
默杀,2024-07-03 上映,135129,41.193733,10
误杀,2019-12-13 上映,133312,33.156654,11
怒火·重案,2021-07-30 上映,132936,38.70422,8
中国医生,2021-07-09 上映,132886,36.341267,11
拆弹专家2,2020-12-24 上映,131473,38.65716,11
扫毒2天地对决,2019-07-05 上映,131288,36.361706,16
摔跤吧！爸爸,2017-05-05 上映,129932,30.073994,22
年会不能停！,2023-12-29 上映,129270,39.3491,8
无双,2018-09-30 上映,127378,35.56216,15
人再囧途之泰囧,2012-12-12 上映,127096,32.42341,45
西游·降魔篇,2013-02-10 上映,124695,40.226612,41
碟中谍6：全面瓦解,2018-08-31 上映,124523,36.820988,15
美国队长3,2016-05-06 上映,124397,34.987694,25
哥斯拉大战金刚,2021-03-26 上映,123265,37.44387,9
寻梦环游记,2017-11-24 上映,123008,33.49183,17
志愿军：存亡之战,2024-09-30 上映,120534,41.34769,10
西游记之孙悟空三打白骨精,2016-02-08 上映,119865,36.662884,35
悬崖之上,2021-04-30 上映,119152,38.566353,12
湄公河行动,2016-09-30 上映,118685,30.444935,24
人生路不熟,2023-04-28 上映,118486,41.487186,9
叶问4：完结篇,2019-12-20 上映,118170,35.41724,11
加勒比海盗5：死无对证,2017-05-26 上映,118007,35.81335,22
长城,2016-12-16 上映,117311,35.158714,21
心花路放,2014-09-30 上映,116958,34.440758,36
煎饼侠,2015-07-17 上映,116018,32.674587,39
金刚：骷髅岛,2017-03-24 上映,115892,35.14932,20
大黄蜂,2019-01-04 上映,114973,35.910618,11
金刚川,2020-10-23 上映,112702,36.99133,8
极限特工：终极回归,2017-02-10 上映,112517,36.20821,23
误杀2,2021-12-17 上映,112143,39.257664,9
澳门风云3,2016-02-08 上映,111640,35.636642,36
生化危机：终章,2017-02-24 上映,110949,34.683666,20
攀登者,2019-09-30 上映,110433,36.99075,21
变形金刚3,2011-07-21 上映,107095,41.80155,54
侏罗纪世界3,2022-06-10 上映,105944,35.558052,8
巨齿鲨,2018-08-10 上映,105374,38.287125,21
乘风破浪,2017-01-28 上映,104605,36.31127,27
西游记之大闹天宫,2014-01-31 上映,104499,41.9303,40
神偷奶爸3,2017-07-07 上映,103791,34.058384,20
